,cnpj,raiz_cnpj,matriz_filial,razao_social,opcao_pelo_simples,capital_social,bairro,municipio
700,39233445000157,39233445,MATRIZ,I HUMAN TECNOLOGIA CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,NAO,100000,CENTRO CIVICO,CURITIBA
702,39355783000161,39355783,MATRIZ,BERGOLD TECH CONSULTORIA EIRELI,SIM,200000,CAJURU,CURITIBA
705,39469328000197,39469328,MATRIZ,MIVA TECNOLOGIA LTDA,SIM,20000,PILARZINHO,CURITIBA
717,40188443000172,40188443,MATRIZ,CSMA SERVICOS DE AUTOMACAO LTDA,SIM,0,BIGORRILHO,CURITIBA
730,40672980000193,40672980,MATRIZ,APETIS CONSULTORIA LTDA,SIM,5000,JUVEVE,CURITIBA
734,40871094000199,40871094,MATRIZ,SPRO CONSULTORIA E INFORMATICA LTDA SCP (RRF),NAO,100,REBOUCAS,CURITIBA
735,40877677000127,40877677,MATRIZ,"CARDOSO PEREIRA & SOFIA BAPTISTA - TECNOLOGIAS DA INFORMACAO, LDA DO BRASIL",NAO,30000,AGUA VERDE,CURITIBA
737,40894681000101,40894681,MATRIZ,LLB SOLUCOES EM MULTIMIDIA LTDA,SIM,1000,ALTO BOQUEIRAO,CURITIBA
739,40942231000139,40942231,MATRIZ,VELVET DESENVOLVIMENTO DE SOFTWARE LTDA,SIM,20000,JUVEVE,CURITIBA
748,41273734000121,41273734,MATRIZ,HD DEVFORCE LTDA,SIM,10000,CENTRO,CURITIBA
749,41368252000155,41368252,MATRIZ,REVIRAVOLTA LOCAL COMUNICACAO E TECNOLOGIA LTDA.,SIM,10000,HUGO LANGE,CURITIBA
751,41418108000186,41418108,MATRIZ,IGREE SIGN INFORMATICA LTDA,NAO,10000,AGUA VERDE,CURITIBA
755,73212854000105,73212854,MATRIZ,H & G CONSULTORIA EM INFORMATICA,NAO,0,AGUA VERDE,CURITIBA
759,79636379000180,79636379,MATRIZ,SOFT ONE CONSULTORIA EM TECNOLOGIA DA INFORMACAO EIRELI,NAO,565320,JARDIM DAS AMERICAS,CURITIBA
761,80005374000139,80005374,MATRIZ,DWM CONSULTORIA LTDA,NAO,10000,CAJURU,CURITIBA
764,81050932000140,81050932,MATRIZ,"RECANTO - CONSULTORIA, INFORMATICA E PROMOCOES LTDA",NAO,0,CAJURU,CURITIBA
765,81236770000130,81236770,MATRIZ,ESFERA INFORMATICA EIRELI,NAO,100000,ALTO DA RUA XV,CURITIBA
768,82525718000166,82525718,MATRIZ,BRIDGE CONSULTORIA E GESTAO LTDA,NAO,0,BARREIRINHA,CURITIBA
770,85049070000197,85049070,MATRIZ,PRODIGIT SISTEMAS DE INFORMATICA LTDA.,NAO,60000,SAO FRANCISCO,CURITIBA
773,85516912000173,85516912,MATRIZ,VALMELL SISTEMAS E SERVICOS DE INFORMATICA LTDA,SIM,0,CAMPINA DO SIQUEIRA,CURITIBA
